x,y,z,rx,ry,rz,g
0.3027856648162571,-0.0720607236508888,0.7899303893803469,-0.2926766544241961,0.1039312858297019,0.050979322774650226,0
0.30644743043471956,-0.07747700870936042,0.7881358410367738,-0.2726534364494685,0.10307000457741008,0.21804050412594866,0
0.3100265916953571,-0.08270205226481973,0.7863056995597547,-0.2529973342799067,0.10230905357861879,0.38110159443381875,0
0.31352379343000175,-0.08773773082726924,0.7844405653436258,-0.23370566699473458,0.10164713924219956,0.5401951849662396,0
0.3169396804704845,-0.09258592090671132,0.7825410387827223,-0.21477575367317514,0.10108296797702392,0.6953538669911896,0
0.32027489764863687,-0.09724849901314847,0.780607720271379,-0.19620491339445156,0.10061524619196327,0.8466102317766481,0
0.3235300897962904,-0.10172734165658308,0.7786412102039315,-0.1779904652377872,0.10024268029588913,0.9939968705905937,0
0.3267059017452763,-0.10602432534701758,0.7766421089747151,-0.1601297282824053,0.09996397669767301,1.137546374701005,0
0.32980297832742633,-0.11014132659445455,0.7746110169780657,-0.1426200216075293,0.09977784180618642,1.277291335375862,0
0.33282196437457173,-0.11408022190889625,0.7725485346083175,-0.12545866429238223,0.0996829820303008,1.4132643438831418,0
0.3357635047185442,-0.11784288780034526,0.7704552622598073,-0.10864297541618777,0.09967810377888775,1.5454979914908245,0
0.33862824419117493,-0.12143120077880395,0.7683318003268698,-0.09217027405816886,0.09976191346081867,1.6740248694668887,0
0.3414168276242953,-0.12484703735427478,0.7661787492038398,-0.07603787929754877,0.09993311748496504,1.798877569079313,0
0.344129899849737,-0.1280922740367602,0.7639967092850536,-0.06024311021355107,0.10019042226019842,1.9200886815960763,0
0.3467681056993315,-0.1311687873362627,0.7617862809648459,-0.044783285885398864,0.1005325341953903,2.037690798285158,0
0.34933209000491006,-0.13407845376278468,0.7595480646375526,-0.029655725392315386,0.10095815969941216,2.1517165104145364,0
0.3518224975983041,-0.13682314982632854,0.7572826606975084,-0.014857747813523958,0.10146600518113542,2.26219840925219,0
0.3542399733113452,-0.13940475203689676,0.7549906695390493,-0.00038667222824793717,0.10205477704943168,2.3691690860660986,0
0.3565851619758648,-0.14182513690449183,0.7526726915565104,0.013760182284289435,0.1027231817131724,2.4726611321242413,0
0.35885870842369416,-0.14408618093911613,0.7503293271442267,0.027585496644864933,0.10346992558122904,2.5727071386945948,0
0.361061257486665,-0.14618976065077216,0.7479611766965344,0.04109195177425516,0.10429371506247316,2.669339697045141,0
0.36319345399660863,-0.1481377525494623,0.745568840607768,0.054282228593236885,0.10519325656577619,2.7625913984438566,0
0.36525594278535656,-0.1499320331451891,0.7431529192722638,0.06715900802258681,0.10616725650000969,2.8524948341587213,0
0.36724936868474,-0.1515744789479548,0.7407140130843558,0.07972497098308177,0.10721442127404503,2.9390825954577133,0
0.36917437652659074,-0.15306696646776205,0.7382527224383807,0.09198279839549832,0.10833345729675385,3.0223872736088113,0
0.3710316111427401,-0.15441137221461326,0.7357696477286733,0.10393517118061317,0.10952307097700759,3.102441459879995,0
0.3728217173650193,-0.1556095726985107,0.7332653893495686,0.11558477025920313,0.11078196872367767,3.179277745539243,0
0.37454534002526,-0.15666344442945704,0.7307405476954026,0.12693427655204487,0.11210885694563569,3.2529287218545337,0
0.37620312395529376,-0.15757486391745468,0.7281957231605107,0.13798637097991517,0.11350244205175314,3.3234269800938474,0
0.37779571398695194,-0.158345707672506,0.7256315161392277,0.1487437344635908,0.11496143045090144,3.390805111525163,0
0.3793237549520658,-0.15897785220461336,0.7230485270258892,0.15920904792384827,0.11648452855195209,3.4550957074164566,0
0.3807878916824669,-0.1594731740237794,0.7204473562148306,0.16938499228146434,0.11807044276377668,3.5163313590357093,0
0.3821887690099867,-0.15983354964000643,0.7178286041003873,0.1792742484572158,0.11971787949524659,3.574544657650898,0
0.38352703176645675,-0.16006085556329686,0.7151928710768943,0.18887949737187937,0.12142554515523336,3.6297681945300035,0
0.38480332478370827,-0.16015696830365328,0.7125407575386877,0.19820341994623178,0.1231921461526085,3.682034560941006,0
0.3860182928935729,-0.16012376437107803,0.7098728638801024,0.20724869710104962,0.1250163888962435,3.7313763481518802,0
0.38717258092788215,-0.15996312027557363,0.7071897904954738,0.21601800975710986,0.12689697979500986,3.7778261474306087,0
0.38826683371846715,-0.15967691252714244,0.7044921377791369,0.22451403883518897,0.128832625257779,3.8214165500451687,0
0.3893016960971597,-0.159267017635787,0.7017805061254279,0.2327394652560637,0.13082203169342255,3.862180147263539,0
0.3902778128957909,-0.15873531211150957,0.6990554959286814,0.24069696994051085,0.1328639055108119,3.9001495303536986,0
0.39119582894619237,-0.1580836724643128,0.6963177075832329,0.24838923380930708,0.1349569531188185,3.9353572905836254,0
0.3920563890801956,-0.15731397520419899,0.693567741483418,0.2558189377832291,0.13709988092631398,3.9678360192213002,0
0.3928601381296321,-0.15642809684117073,0.6908061980235723,0.2629887627830538,0.1392913953421698,3.997618307534702,0
0.39360772092633317,-0.1554279138852304,0.6880336775980307,0.2699013897295576,0.14153020277525738,4.024736746791808,0
0.39429978230213025,-0.15431530284638031,0.6852507806011283,0.2765594995435175,0.14381500963444824,4.049223928260598,0
0.3949369670888549,-0.1530921402346231,0.6824581074272013,0.2829657731457099,0.1461445223286139,4.071112443209051,0
0.3955199201183385,-0.15176030255996106,0.6796562584705844,0.2891228914569117,0.14851744726662586,4.090434882905143,0
0.3960492862224123,-0.1503216663323967,0.6768458341256129,0.29503353539789967,0.15093249085735555,4.107223838616855,0
0.3965257102329083,-0.1487781080619326,0.6740274347866231,0.30070038588945064,0.1533883595096746,4.12151190161217,0
